hr	hc	α	c	v	r	z	pd	w	obj	status
3.5	0.5	0.1	2.0	0.4	0.5	-0.023366296642471588	11.232453029651213	2.7923027332144885	19.26167340285299	LOCALLY_SOLVED
4.0	0.5	0.1	2.0	0.4	0.5	-0.01914802181464169	11.253428117421246	2.7614828445813897	19.129312484640614	LOCALLY_SOLVED
3.0	1.0	0.1	2.0	0.4	0.5	-0.027745049620566987	11.178506644241592	2.8152274540373363	19.253739807116872	LOCALLY_SOLVED
3.5	1.0	0.1	2.0	0.4	0.5	-0.023565562142468795	11.199419930434505	2.784354609602011	19.121412227506895	LOCALLY_SOLVED
4.0	1.0	0.1	2.0	0.4	0.5	-0.01933759671908994	11.220409899620432	2.753545136304817	18.989538710924986	LOCALLY_SOLVED
3.0	1.5	0.1	2.0	0.4	0.5	-0.02795580623621868	11.145460077710267	2.807271148455006	19.113491828633023	LOCALLY_SOLVED
3.5	1.5	0.1	2.0	0.4	0.5	-0.023766792019273095	11.1663879035515	2.7764084128101336	18.981651886441703	LOCALLY_SOLVED
4.0	1.5	0.1	2.0	0.4	0.5	-0.019529105831724177	11.187392840130965	2.7456094229722217	18.850265708963065	LOCALLY_SOLVED
3.0	0.5	0.15	2.0	0.4	0.5	-0.014970528408382358	11.257979523577717	2.7267639347313817	18.927697874627533	LOCALLY_SOLVED
3.5	0.5	0.15	2.0	0.4	0.5	-0.008469552274320592	11.289720777088654	2.680764701643731	18.73104297842653	LOCALLY_SOLVED
4.0	0.5	0.15	2.0	0.4	0.5	-0.0018554678004918004	11.321647629614342	2.6349214584397047	18.53539245042832	LOCALLY_SOLVED
3.0	1.0	0.15	2.0	0.4	0.5	-0.015242202330507661	11.208476576758656	2.714875895382177	18.719331145474698	LOCALLY_SOLVED
3.5	1.0	0.15	2.0	0.4	0.5	-0.008718377751129306	11.240253719620998	2.668902212457013	18.523771167263757	LOCALLY_SOLVED
4.0	1.0	0.15	2.0	0.4	0.5	-0.0020807744564178155	11.2722180462672	2.623085937628694	18.32921437161722	LOCALLY_SOLVED
3.0	1.5	0.15	2.0	0.4	0.5	-0.015518213909206515	11.15897644547408	2.7029925377201938	18.5120910300203	LOCALLY_SOLVED
3.5	1.5	0.15	2.0	0.4	0.5	-0.008971433548080337	11.19078979564246	2.6570446609999703	18.317625738785097	LOCALLY_SOLVED
4.0	1.5	0.15	2.0	0.4	0.5	-0.002310200533610422	11.222791932437456	2.611255627873649	18.12416243073751	LOCALLY_SOLVED
3.0	0.5	0.1	1.0	0.2	1.0	-0.29470925373521795	11.898567787764204	7.578915597073244	16.68511727576667	LOCALLY_SOLVED
3.5	0.5	0.1	1.0	0.2	1.0	-0.2946119665471202	11.911272209381263	7.554219478732112	16.573161314424155	LOCALLY_SOLVED
4.0	0.5	0.1	1.0	0.2	1.0	-0.29451424260488923	11.923977827642293	7.529525290412462	16.461580077192274	LOCALLY_SOLVED
3.0	1.0	0.1	1.0	0.2	1.0	-0.29461196654712013	11.861272209381262	7.5542194787321115	16.573161314424166	LOCALLY_SOLVED
3.5	1.0	0.1	1.0	0.2	1.0	-0.2945142426048898	11.873977827642292	7.529525290412463	16.46158007719227	LOCALLY_SOLVED
4.0	1.0	0.1	1.0	0.2	1.0	-0.29441607962770716	11.886684652703638	7.504833050073425	16.350373561670185	LOCALLY_SOLVED
3.0	1.5	0.1	1.0	0.2	1.0	-0.2945142426048897	11.823977827642292	7.5295252904124625	16.46158007719227	LOCALLY_SOLVED
3.5	1.5	0.1	1.0	0.2	1.0	-0.29441607962770716	11.836684652703637	7.504833050073426	16.35037356167019	LOCALLY_SOLVED
4.0	1.5	0.1	1.0	0.2	1.0	-0.29431747533114755	11.849392694831733	7.480142775891631	16.2395417654301	LOCALLY_SOLVED
3.0	0.5	0.15	1.0	0.2	1.0	-0.2943668327872571	11.918038520988352	7.492487666068249	16.294910823792694	LOCALLY_SOLVED
3.5	0.5	0.15	1.0	0.2	1.0	-0.2942184274275447	11.937101964404508	7.455454486264444	16.129084686017023	LOCALLY_SOLVED
4.0	0.5	0.15	1.0	0.2	1.0	-0.2940690187977062	11.956168193202386	7.418425813659796	15.964101655509428	LOCALLY_SOLVED
3.0	1.0	0.15	1.0	0.2	1.0	-0.2942184274275447	11.862101964404507	7.455454486264444	16.12908468601702	LOCALLY_SOLVED
3.5	1.0	0.15	1.0	0.2	1.0	-0.29406901879770614	11.881168193202386	7.418425813659796	15.964101655509422	LOCALLY_SOLVED
4.0	1.0	0.15	1.0	0.2	1.0	-0.2939185991571909	11.900237243272578	7.381401712063866	15.799961723772315	LOCALLY_SOLVED
3.0	1.5	0.15	1.0	0.2	1.0	-0.2940690187977061	11.806168193202385	7.418425813659794	15.964101655509419	LOCALLY_SOLVED
3.5	1.5	0.15	1.0	0.2	1.0	-0.293918599157191	11.82523724327258	7.381401712063868	15.79996172377232	LOCALLY_SOLVED
4.0	1.5	0.15	1.0	0.2	1.0	-0.2937671607560768	11.844309151095802	7.344382246462786	15.636664882163409	LOCALLY_SOLVED
3.0	0.5	0.1	1.5	0.2	1.0	-0.3289140315841814	12.016535450732741	7.852242777857697	15.443348394501738	LOCALLY_SOLVED
3.5	0.5	0.1	1.5	0.2	1.0	-0.32894222074501106	12.029195264788779	7.827593623777006	15.33518017649195	LOCALLY_SOLVED
4.0	0.5	0.1	1.5	0.2	1.0	-0.3289708628102767	12.041855854727169	7.802946523703792	15.227386986080068	LOCALLY_SOLVED
3.0	1.0	0.1	1.5	0.2	1.0	-0.3289422207450117	11.97919526478878	7.8275936237770125	15.335180176491964	LOCALLY_SOLVED
3.5	1.0	0.1	1.5	0.2	1.0	-0.32897086281027704	11.991855854727168	7.802946523703792	15.227386986080084	LOCALLY_SOLVED
4.0	1.0	0.1	1.5	0.2	1.0	-0.3289999647253993	12.004517225449936	7.778301495166586	15.119968824333425	LOCALLY_SOLVED
3.0	1.5	0.1	1.5	0.2	1.0	-0.32897086281027677	11.94185585472717	7.802946523703791	15.227386986080077	LOCALLY_SOLVED
3.5	1.5	0.1	1.5	0.2	1.0	-0.328999964725399	11.954517225449935	7.778301495166582	15.119968824333416	LOCALLY_SOLVED
4.0	1.5	0.1	1.5	0.2	1.0	-0.3290295335574272	11.96717938188762	7.753658555886854	15.012925692343295	LOCALLY_SOLVED
3.0	0.5	0.15	1.5	0.2	1.0	-0.32901469033029124	12.035848205145147	7.765979763254339	15.066400379549629	LOCALLY_SOLVED
3.5	0.5	0.15	1.5	0.2	1.0	-0.32905957649750023	12.054842328999165	7.72901772378154	14.906257591225625	LOCALLY_SOLVED
4.0	0.5	0.15	1.5	0.2	1.0	-0.3291055459030069	12.073838243097198	7.692060466256949	14.746958624937964	LOCALLY_SOLVED
3.0	1.0	0.15	1.5	0.2	1.0	-0.3290595764974999	11.979842328999162	7.729017723781538	14.906257591225629	LOCALLY_SOLVED
3.5	1.0	0.15	1.5	0.2	1.0	-0.32910554590300695	11.998838243097198	7.692060466256948	14.74695862493796	LOCALLY_SOLVED
